ALUTENT	 	1+8karakter
ÁRAMHÁLOZAT	 	2+8Karakter
BÚTOR	 	3+8karakter
CATERING	 	4+8karakter
EMELÉSTECHNIKA	 	5+8karakter
TECHNIKA	2602000	6+8karakter
LAYHER	 	7+8 karakter
SYMA	60303008	8+8 karakter
Traverz	 	9+8 karakter
EGYÉB	 	0+8Karakter
